,survived,pclass,age,embarked,home.dest,room,ticket,boat,sex
633,0,2,4.0,3,325,0,0,0,1
634,0,2,20.0,3,323,0,0,0,1
635,0,2,26.0,3,57,0,0,0,1
636,0,2,25.0,3,4,0,0,0,1
637,0,2,18.0,3,4,0,0,0,0
638,0,2,24.0,3,324,0,0,0,1
639,0,2,35.0,3,0,0,0,0,1
640,0,2,40.0,3,320,0,0,14,1
641,1,2,38.0,3,320,0,0,89,0
642,0,2,5.0,3,320,0,0,0,1
643,0,2,9.0,3,326,0,0,0,1
644,1,2,3.0,3,326,0,0,89,1
645,0,2,13.0,3,326,0,0,0,1
646,1,2,23.0,3,251,0,0,0,1
647,1,2,5.0,3,326,0,0,89,0
648,0,2,31.19,1,254,0,0,0,1
649,1,2,45.0,1,254,0,0,98,0
650,0,2,23.0,3,0,0,0,0,1
651,0,2,17.0,1,0,0,0,0,0
652,0,2,27.0,1,254,0,0,0,1
653,0,2,23.0,3,187,0,0,0,1
654,0,2,20.0,1,0,0,0,0,1
655,0,2,32.0,3,282,0,0,0,1
656,1,2,33.0,3,282,0,0,0,0
657,1,2,3.0,1,332,0,0,0,0
658,1,2,31.19,1,332,0,0,0,0
659,1,2,31.19,1,332,0,0,0,0
660,1,2,31.19,1,332,0,0,0,0
661,1,2,18.0,3,212,0,0,0,0
662,0,2,40.0,1,0,0,0,0,1
663,0,2,26.0,3,0,0,0,0,1
664,1,2,15.0,1,334,0,0,0,0
665,0,2,45.0,1,333,0,0,0,0
666,0,2,18.0,1,333,0,0,0,0
667,0,2,27.0,2,238,0,0,0,0
668,0,2,22.0,3,117,0,0,0,1
669,0,2,19.0,3,108,0,0,0,1
670,0,2,26.0,3,188,0,0,0,1
671,0,2,22.0,3,340,0,0,0,1
672,0,2,20.0,1,329,0,0,0,1
673,1,2,32.0,3,161,0,0,0,1
674,0,2,21.0,3,38,0,0,0,1
675,0,2,18.0,3,315,0,0,0,1
676,0,2,26.0,3,57,0,0,0,1
677,0,2,6.0,1,331,0,0,0,1
678,0,2,31.19,1,329,0,0,0,1
679,0,2,31.19,1,331,0,0,0,0
680,0,2,9.0,1,331,0,0,0,0
681,0,2,40.0,2,173,0,0,0,1
682,0,2,32.0,2,173,0,0,0,0
683,0,2,31.19,2,173,0,0,0,0
684,0,2,26.0,3,341,0,0,0,1
685,1,2,18.0,2,184,0,0,82,0
686,0,2,20.0,3,223,0,0,0,0
687,0,2,31.19,1,0,0,0,0,1
688,0,2,29.0,3,39,0,0,0,1
689,0,2,22.0,3,39,0,0,0,1
690,0,2,22.0,3,326,0,0,0,1
691,0,2,35.0,3,51,0,0,0,1
692,1,2,21.0,2,185,0,0,0,1
693,0,2,20.0,2,70,0,0,58,0
694,0,2,19.0,2,69,0,0,0,1
695,0,2,18.0,2,74,0,0,0,0
696,0,2,18.0,3,87,0,0,0,1
697,0,2,38.0,3,87,0,0,0,1
698,0,2,31.19,3,87,0,0,0,1
699,0,2,30.0,3,87,0,0,0,1
700,0,2,17.0,3,0,0,0,0,1
701,0,2,21.0,2,0,0,0,0,0
702,0,2,21.0,2,175,0,0,0,1
703,0,2,21.0,3,0,0,0,0,1
704,0,2,31.19,1,254,0,0,0,1
705,0,2,31.19,1,254,0,0,0,0
706,0,2,24.0,3,134,0,0,0,1
707,0,2,33.0,3,238,0,0,0,1
708,0,2,33.0,3,0,0,0,0,1
709,0,2,28.0,3,88,0,0,0,1
710,1,2,16.0,2,72,0,0,0,0
711,0,2,37.0,2,73,0,0,0,0
712,0,2,28.0,3,305,0,0,0,1
713,1,2,31.19,1,330,0,0,0,1
714,0,2,24.0,3,198,0,0,0,1
715,0,2,21.0,3,174,0,0,0,1
716,0,2,31.19,1,0,0,0,0,1
717,0,2,32.0,3,161,0,0,0,1
718,0,2,29.0,3,0,0,0,0,1
719,0,2,26.0,1,135,0,0,0,1
720,0,2,18.0,1,135,0,0,0,1
721,0,2,20.0,3,273,0,0,0,1
722,1,2,19.0,3,210,0,0,0,1
723,0,2,24.0,2,71,0,0,0,1
724,0,2,24.0,3,0,0,0,0,1
725,0,2,36.0,3,57,0,0,0,1
726,0,2,31.0,2,266,0,0,0,1
727,0,2,31.0,2,172,0,0,0,1
728,0,2,30.0,2,171,0,0,0,0
729,1,2,22.0,2,171,0,0,0,0
730,0,2,31.19,2,0,0,0,23,1
731,0,2,43.0,3,0,0,0,0,1
732,0,2,35.0,3,13,0,0,0,1
733,0,2,27.0,3,13,0,0,0,1
734,0,2,19.0,3,13,0,0,0,1
735,0,2,30.0,3,198,0,0,0,1
736,1,2,36.0,3,116,0,0,87,0
737,1,2,3.0,3,116,0,0,87,1
738,1,2,9.0,3,116,0,0,87,1
739,0,2,59.0,3,224,0,0,0,1
740,0,2,19.0,3,45,0,0,0,1
741,0,2,44.0,3,36,0,0,0,1
742,1,2,17.0,3,36,0,0,0,0
743,0,2,31.19,1,0,0,0,0,1
744,1,2,45.0,3,12,0,0,85,1
745,0,2,22.0,3,246,0,0,0,0
746,0,2,19.0,3,13,0,0,0,1
747,1,2,29.0,2,67,0,0,97,1
748,1,2,30.0,2,67,0,0,0,0
749,0,2,34.0,3,312,0,0,0,1
750,0,2,28.0,3,312,0,0,0,0
751,0,2,0.3333,3,312,0,0,0,1
752,0,2,27.0,3,57,0,0,0,1
753,0,2,25.0,3,57,0,0,0,1
754,0,2,24.0,3,353,0,0,0,1
755,0,2,22.0,3,0,0,0,0,1
756,0,2,21.0,3,353,0,0,0,1
757,0,2,17.0,3,353,0,0,0,1
758,0,2,31.19,3,197,0,0,0,1
759,1,2,31.19,3,197,0,0,0,0
760,0,2,26.0,3,95,0,0,0,1
761,1,2,33.0,3,95,0,0,80,0
762,1,2,1.0,3,95,0,0,80,1
763,1,2,0.1667,3,95,0,0,80,0
764,0,2,25.0,3,0,0,0,0,1
765,1,2,36.0,3,336,0,0,85,1
766,1,2,36.0,3,336,0,0,82,0
767,1,2,30.0,3,27,0,0,0,1
768,0,2,31.19,3,58,0,0,0,1
769,0,2,23.0,3,0,0,0,0,1
770,0,2,26.0,3,0,0,0,0,1
771,1,2,19.0,2,182,0,0,98,0
772,0,2,65.0,2,0,0,0,0,1
773,0,2,31.19,1,0,0,0,0,1
774,0,2,42.0,3,0,0,0,0,1
775,0,2,43.0,3,0,0,0,0,1
776,0,2,32.0,2,174,0,0,0,1
777,1,2,19.0,3,118,0,0,97,1
778,1,2,30.0,3,344,0,0,82,0
779,0,2,24.0,2,174,0,0,0,0
780,1,2,23.0,3,211,0,0,0,0
781,0,2,31.19,1,14,0,0,0,1
782,1,2,24.0,2,17,0,0,0,0
783,1,2,24.0,3,115,0,0,99,1
784,0,2,23.0,3,355,0,0,0,1
785,1,2,22.0,3,355,0,0,0,0
786,0,2,31.19,3,15,0,0,0,1
787,0,2,18.0,3,337,0,0,0,1
788,0,2,16.0,3,181,0,0,0,1
789,0,2,45.0,3,104,0,0,0,1
790,0,2,31.19,1,329,0,0,0,1
791,0,2,31.19,1,329,0,0,0,1
792,0,2,31.19,1,333,0,0,0,1
793,0,2,47.0,3,167,0,0,0,1
794,1,2,5.0,3,238,0,0,82,0
795,0,2,31.19,3,0,0,0,0,1
796,0,2,31.19,3,0,0,0,0,1
797,0,2,31.19,2,11,0,0,0,1
798,1,2,31.19,3,178,0,0,0,1
799,0,2,31.19,3,0,0,0,0,1
800,0,2,31.19,2,0,0,0,0,1
801,0,2,31.19,2,0,0,0,0,1
802,0,2,31.19,2,173,0,0,0,1
803,0,2,31.19,2,171,0,0,0,1
804,1,2,31.19,3,161,0,0,0,1
805,0,2,31.19,3,40,0,0,0,1
806,0,2,21.0,3,279,0,0,0,0
807,0,2,18.0,3,279,0,0,0,1
808,0,2,9.0,3,279,0,0,0,0
809,0,2,48.0,3,279,0,0,0,0
810,0,2,16.0,3,279,0,0,0,1
811,0,2,31.19,2,174,0,0,0,1
812,0,2,31.19,3,0,0,0,0,1
813,0,2,25.0,2,238,0,0,0,1
814,0,2,31.19,3,0,0,0,0,1
815,1,2,31.19,1,370,0,0,0,0
816,0,2,22.0,3,0,0,0,0,1
817,1,2,16.0,2,72,0,0,0,0
818,1,2,31.19,2,68,0,0,82,0
819,0,2,33.0,3,318,0,0,0,1
820,1,2,31.19,3,318,0,0,98,0
821,1,2,9.0,3,318,0,0,98,1
822,0,2,41.0,3,266,0,0,0,1
823,0,2,38.0,3,273,0,0,0,1
824,0,2,40.0,3,361,0,0,0,1
825,0,2,43.0,3,361,0,0,0,0
826,0,2,14.0,3,361,0,0,0,1
827,0,2,16.0,3,361,0,0,0,0
828,0,2,9.0,3,361,0,0,0,1
829,0,2,10.0,3,361,0,0,0,0
830,0,2,6.0,3,361,0,0,0,1
831,0,2,11.0,3,361,0,0,0,1
832,0,2,40.0,3,98,0,0,0,1
833,0,2,32.0,3,125,0,0,0,1
834,0,2,31.19,3,0,0,0,0,1
835,0,2,20.0,3,352,0,0,0,1
836,0,2,37.0,3,282,0,0,0,1
837,0,2,28.0,3,282,0,0,0,1
838,0,2,19.0,3,235,0,0,0,1
